"","id","listing_id","feedback","language"
"1",32198807,1291276,"Gwen fue una magnifica anfitriona. El motivo de mi viaje a Bruselas era la busqueda de un apartamento y Gwen me ayudo en todo momento tanto para las paginas en las que debia buscar como en las zonas que me aconsejaba. Ademas es muy simpatica y agradable. Me dejo utilizar su Ipad para hacer skype con mis padres asi como utilizar su ordenador para buscar apartamentos. El ultimo dia, ademas, me acompano a la estacion de trenes con su coche ya que iba con dos maletas grandes. Por supuesto, la casa es como aparece en las fotos. En definitiva un sitio mas que recomendable!!!!","es"
"2",12919832,1274584,"Aurelie fue muy atenta y comunicativa. Nos dio mapas, concejos turisticos y de transporte para disfrutar Bruselas y Brujas. Fue muy amable al prestarnos sus juegos de tablero para jugar.
Su departamento es muy lindo y acogedor, muy luminoso y comodo.
","es"
"3",23786310,1991750,"La estancia fue muy agradable. Gabriel es muy atento y esta dispuesto a ayudar en todo lo que necesites. La casa y la habitacion son muy acogedoras, aunque por las mananas en el salon hace un poco de frio. 
El barrio es muy cercano al centro, en 10-15m estas en la Grand Place.
En general una muy buena experiencia!","es"
"4",20048068,2576349,"Excelente espacio, excelente anfitriona, un lugar accessible economicamente y cerca de los lugares turisticos sin necesitad de gastar mucho en bus y tranvia para llegar a ellos. La agradecimos por su disponibilidad y sus consejos de bars bien padrisimos!","es"
"5",17571798,1866754,"Nos sentimos como en nuestra propia casa. La ubicacion es perfecta, mucho  mas centrica de lo que esperabamos. A tan solo 10 minutos de La Grand Place. Fue muy amable y atento con nosotros. El apartamento esta nuevo, muy buen cuidado y la decoracion es genial!! Repetiria seguro!! ","es"
"6",28394425,5247223,"Thomas es un excelente anfitrion y persona. Tuvimos un inconveniente pues ibamos a hospedarnos 3 amigos en su casa, yo no pude hospedarme debido a un inconveniente personal, Thomas no tuvo ningun inconveniente en que se modificara la reserva de tres a dos huespedes. Mis amigos estuvieron muy contentos en casa de Thomas, me indicaron que esta bien situado, que Thomas es una persona muy agradable y que el piso esta en muy buenas condiciones. Muchas gracias por todo Thomas. ","es"
"7",46322841,7925019,"Estoy muy contento con mi estancia en Bruselas en el apartamento de Evy. Aparte de ser como en las fotos, el trato que ha tenido Evy ha sido genial, muy amable y cercana. 

El piso esta cerca del centro de la ciudad y no te hace falta coger apenas ningun transporte para llegar a la mayoria de puntos importantes de la ciudad. Ademas esta totalmente nuevo y a pesar de que sea pequeno, tiene todo lo esencial, ideal para 2 personas, pero se puede estar comodamente hasta 4. Un piso perfecto para estar unos dias en Bruselas, totalmente recomendable, !muchas gracias! :)","es"
"8",27719650,4442255,"Emmanuel es un excelente anfitrion y esta siempre atento a ayudar. La localizacion del departamento es excelente. Lo recomiendo como para pasar unos dias en Beuselas. ","es"
"9",14512388,2863621,"Nuestra estadia en Bruselas ha sido excelente. Tanja y Aurelien son muy amables,  simpaticos y generosos y se han preocupado por facilitarnos todo lo necesario para sentirnos como en casa. El departamento esta muy bien ubicado, arreglado con buen gusto y en pleno centro de la ciudad . Puedes llegar caminando desde la estacion central o la estacion midi y esta a 5 minutos de Central place.
Lo recomendamos sin dudarlo","es"
"10",37675819,3117760,"Ame el apartamento, es muy amplio, esta bien ubicado,  esta muy bien decorado, todo estaba en orden y limpio (que es lo importante ). In 6 words ""I love it"" ""I recommend it""","es"
